U+0DAA	ඪ	224 182 170
U+0DAB	ණ	224 182 171
U+0DAC	ඬ	224 182 172
U+0DAD	ත	224 182 173
U+0DAE	ථ	224 182 174
U+0DAF	ද	224 182 175
U+0DB0	ධ	224 182 176
U+0DB1	න	224 182 177
U+0DB2	඲	224 182 178
U+0DB3	ඳ	224 182 179
U+0DB4	ප	224 182 180
U+0DB5	ඵ	224 182 181
U+0DB6	බ	224 182 182
U+0DB7	භ	224 182 183
U+0DB8	ම	224 182 184
U+0DB9	ඹ	224 182 185
U+0DBA	ය	224 182 186
U+0DBB	ර	224 182 187
U+0DBC	඼	224 182 188
U+0DBD	ල	224 182 189
U+0DBE	඾	224 182 190
U+0DBF	඿	224 182 191
U+0DC0	ව	224 183 128
U+0DC1	ශ	224 183 129
U+0DC2	ෂ	224 183 130
U+0DC3	ස	224 183 131
U+0DC4	හ	224 183 132
U+0DC5	ළ	224 183 133
U+0DC6	ෆ	224 183 134
U+0DC7	෇	224 183 135
U+0DC8	෈	224 183 136
U+0DC9	෉	224 183 137
U+0DCA	්	224 183 138
U+0DCB	෋	224 183 139
U+0DCC	෌	224 183 140
U+0DCD	෍	224 183 141
U+0DCE	෎	224 183 142
U+0DCF	ා	224 183 143
U+0DD0	ැ	224 183 144
U+0DD1	ෑ	224 183 145
U+0DD2	ි	224 183 146
U+0DD3	ී	224 183 147
U+0DD4	ු	224 183 148
U+0DD5	෕	224 183 149
U+0DD6	ූ	224 183 150
U+0DD7	෗	224 183 151
U+0DD8	ෘ	224 183 152
U+0DD9	ෙ	224 183 153
U+0DDA	ේ	224 183 154
U+0DDB	ෛ	224 183 155
U+0DDC	ො	224 183 156
U+0DDD	ෝ	224 183 157
U+0DDE	ෞ	224 183 158
U+0DDF	ෟ	224 183 159
U+0DE0	෠	224 183 160
U+0DE1	෡	224 183 161
U+0DE2	෢	224 183 162
U+0DE3	෣	224 183 163
U+0DE4	෤	224 183 164
U+0DE5	෥	224 183 165
U+0DE6	෦	224 183 166
U+0DE7	෧	224 183 167
U+0DE8	෨	224 183 168
U+0DE9	෩	224 183 169
U+0DEA	෪	224 183 170
U+0DEB	෫	224 183 171
U+0DEC	෬	224 183 172
U+0DED	෭	224 183 173
U+0DEE	෮	224 183 174
U+0DEF	෯	224 183 175
U+0DF0	෰	224 183 176
U+0DF1	෱	224 183 177
U+0DF2	ෲ	224 183 178
U+0DF3	ෳ	224 183 179
U+0DF4	෴	224 183 180
U+0DF5	෵	224 183 181
U+0DF6	෶	224 183 182
U+0DF7	෷	224 183 183
U+0DF8	෸	224 183 184
U+0DF9	෹	224 183 185
U+0DFA	෺	224 183 186
U+0DFB	෻	224 183 187
U+0DFC	෼	224 183 188
U+0DFD	෽	224 183 189
U+0DFE	෾	224 183 190
U+0DFF	෿	224 183 191
